序号,行政区划代码,模板填写行政区划名称,单位名称,组织机构编码,法人代表,联系人,联系电话,单位地址,单位类型,经济类型,所属行业,产业类别,自主创业情况,就业总人数,需求人数
4507,4311030807,冷水滩区黄阳司镇郝皮桥村,基建建筑,154,盛卫国,盛卫国,13874758030,冷水滩区黄阳司镇郝皮桥村,个体工商户,个体经营,建筑,第二产业,其他,1,0
4513,4311030807,冷水滩区黄阳司镇郝皮桥村,大货车,160,盛小军,盛小军,13762992058,冷水滩区黄阳司镇郝皮桥村,个体工商户,个体经营,其他,第三产业,其他,1,0
4514,4311030807,冷水滩区黄阳司镇郝皮桥村,面包车,161,盛石青,盛石青,13874758030,冷水滩区黄阳司镇郝皮桥村,个体工商户,个体经营,其他,第三产业,其他,1,0
4515,4311030807,冷水滩区黄阳司镇郝皮桥村,个体客运,162,雷泽东,雷泽东,13874758030,冷水滩区黄阳司镇郝皮桥村,个体工商户,个体经营,其他,第三产业,其他,1,0
4516,4311030807,冷水滩区黄阳司镇郝皮桥村,大货车,163,盛夏冬,盛夏冬,13762992058,冷水滩区黄阳司镇郝皮桥村,个体工商户,个体经营,其他,第三产业,其他,1,0
4517,4311030807,冷水滩区黄阳司镇郝皮桥村,基建建筑,164,盛荣锋,盛荣锋,13762992058,冷水滩区黄阳司镇郝皮桥村,个体工商户,个体经营,建筑,第二产业,其他,1,0
4518,4311030807,冷水滩区黄阳司镇郝皮桥村,个体运输,165,盛德元,盛德元,13874758030,冷水滩区黄阳司镇郝皮桥村,个体工商户,个体经营,交通运输仓储邮电通信,第三产业,其他,1,0
4519,4311030807,冷水滩区黄阳司镇郝皮桥村,基建泥工,166,盛检来,盛检来,13874758030,冷水滩区黄阳司镇郝皮桥村,个体工商户,个体经营,建筑,第二产业,其他,1,0
4535,4311030807,冷水滩区黄阳司镇郝皮桥村,基建建筑,182,盛顺华,盛顺华,13874758030,冷水滩区黄阳司镇郝皮桥村,个体工商户,个体经营,建筑,第二产业,其他,1,0
4536,4311030807,冷水滩区黄阳司镇郝皮桥村,基建泥工,183,盛基发,盛基发,13762992058,冷水滩区黄阳司镇郝皮桥村,个体工商户,个体经营,建筑,第二产业,其他,1,0
4539,4311030807,冷水滩区黄阳司镇郝皮桥村,室内装修,186,雷发明,雷发明,13762992058,冷水滩区黄阳司镇郝皮桥村,个体工商户,个体经营,其他,第三产业,其他,1,0
4542,4311030808,冷水滩区黄阳司镇蔸塘村,基建泥工,189,唐传玉,唐传玉,15869964915,冷水滩区黄阳司镇蔸塘村,个体工商户,个体经营,建筑,第二产业,其他,1,0
4543,4311030808,冷水滩区黄阳司镇蔸塘村,个体运输,190,盛年寿,盛年寿,13647462322,冷水滩区黄阳司镇蔸塘村,个体工商户,个体经营,交通运输仓储邮电通信,第三产业,其他,1,0
4544,4311030808,冷水滩区黄阳司镇蔸塘村,个体运输,191,唐祚勇,唐祚勇,13647462322,冷水滩区黄阳司镇蔸塘村,个体工商户,个体经营,交通运输仓储邮电通信,第三产业,其他,1,0
4545,4311030808,冷水滩区黄阳司镇蔸塘村,基建泥工,192,唐传足,唐传足,15869964915,冷水滩区黄阳司镇蔸塘村,个体工商户,个体经营,建筑,第二产业,其他,1,0
4546,4311030808,冷水滩区黄阳司镇蔸塘村,个体运输,193,唐庆伟,唐庆伟,15869964915,冷水滩区黄阳司镇蔸塘村,个体工商户,个体经营,交通运输仓储邮电通信,第三产业,其他,1,0
4547,4311030808,冷水滩区黄阳司镇蔸塘村,基建木工,194,黄中民,黄中民,13647462322,冷水滩区黄阳司镇蔸塘村,个体工商户,个体经营,建筑,第二产业,其他,1,0
4548,4311030808,冷水滩区黄阳司镇蔸塘村,面包车,195,盛超毅,盛超毅,13647462322,冷水滩区黄阳司镇蔸塘村,个体工商户,个体经营,其他,第三产业,其他,1,0
4553,4311030808,冷水滩区黄阳司镇蔸塘村,个体客运,200,盛忠义,盛忠义,13647462322,冷水滩区黄阳司镇蔸塘村,个体工商户,个体经营,其他,第三产业,其他,1,0
4554,4311030808,冷水滩区黄阳司镇蔸塘村,个体运输,203,黄锡祥,黄锡祥,13647462322,冷水滩区黄阳司镇蔸塘村,个体工商户,个体经营,交通运输仓储邮电通信,第三产业,其他,1,0
4555,4311030808,冷水滩区黄阳司镇蔸塘村,个体运输,204,唐祚宝,唐祚宝,15869964915,冷水滩区黄阳司镇蔸塘村,个体工商户,个体经营,交通运输仓储邮电通信,第三产业,其他,1,0
4556,4311030808,冷水滩区黄阳司镇蔸塘村,基建泥工,205,唐传文,唐传文,13647462322,冷水滩区黄阳司镇蔸塘村,个体工商户,个体经营,建筑,第二产业,其他,1,0
3309,4311030815,冷水滩区黄阳司镇六牙市村,唐书生个体运输,393,唐书生,唐书生,18797746158,冷水滩区黄阳司镇六牙市村,个体工商户,个体经营,交通运输仓储邮电通信,第三产业,其他,1,0
3383,4311030818,冷水滩区黄阳司镇何家亭村,屈宗付货车,468,屈宗付,屈宗付,13187120897,冷水滩区黄阳司镇何家亭村,个体工商户,个体经营,其他,第三产业,其他,1,0
3384,4311030818,冷水滩区黄阳司镇何家亭村,王东林运输,469,王东林,王东林,13187120987,冷水滩区黄阳司镇何家亭村,个体工商户,个体经营,交通运输仓储邮电通信,第三产业,其他,1,0
3386,4311030818,冷水滩区黄阳司镇何家亭村,何家亭胡友平运输,471,胡友平,胡友平,13187120897,冷水滩区黄阳司镇何家亭村,个体工商户,个体经营,交通运输仓储邮电通信,第三产业,其他,1,0
3392,4311030818,冷水滩区黄阳司镇何家亭村,货运货车,477,屈宗武,屈宗武,13237494861,冷水滩区黄阳司镇何家亭村,个体工商户,个体经营,其他,第三产业,其他,1,0
3394,4311030818,冷水滩区黄阳司镇何家亭村,货运货车,479,屈宗中,屈宗中,13187120897,冷水滩区黄阳司镇何家亭村,个体工商户,个体经营,其他,第三产业,其他,1,0
3396,4311030818,冷水滩区黄阳司镇何家亭村,唐秋苟营运拖拉机,481,唐秋苟,唐秋苟,13187120897,冷水滩区黄阳司镇何家亭村,个体工商户,个体经营,其他,第三产业,其他,1,0
3562,4311030824,冷水滩区黄阳司镇陶家洲村,陶响林鱼摊,649,陶响林,陶响林,13574619585,冷水滩区黄阳司镇陶家洲村,个体工商户,个体经营,批发零售,第三产业,其他,1,0
3570,4311030825,冷水滩区黄阳司镇钱家洲村,陶文鱼摊,657,陶文,陶文,8527188,冷水滩区黄阳司镇钱家洲村,个体工商户,个体经营,批发零售,第三产业,其他,1,0
3612,4311030826,冷水滩区黄阳司镇曾家湾村,曾建斌碾米机,699,曾建斌,曾建斌,15211661809,冷水滩区黄阳司镇曾家湾村,个体工商户,个体经营,农林牧渔业,第一产业,其他,1,0
3613,4311030826,冷水滩区黄阳司镇曾家湾村,曾和平碾米,700,曾和平,曾和平,8527068,冷水滩区黄阳司镇曾家湾村,个体工商户,个体经营,农林牧渔业,第一产业,其他,1,0
3615,4311030826,冷水滩区黄阳司镇曾家湾村,曾祥禄碾米,702,曾祥禄,曾祥禄,18707425930,冷水滩区黄阳司镇曾家湾村,个体工商户,个体经营,农林牧渔业,第一产业,其他,1,0
3619,4311030826,冷水滩区黄阳司镇曾家湾村,何德军货运,706,何德军,何德军,8527027,冷水滩区黄阳司镇曾家湾村,个体工商户,个体经营,其他,第三产业,其他,1,0
3620,4311030826,冷水滩区黄阳司镇曾家湾村,吴开生碾米,707,吴开本,吴开本,13217462668,冷水滩区黄阳司镇曾家湾村,个体工商户,个体经营,农林牧渔业,第一产业,其他,1,0
3621,4311030826,冷水滩区黄阳司镇曾家湾村,曾友生个体运输,708,曾友,曾友,15674615834,冷水滩区黄阳司镇曾家湾村,个体工商户,个体经营,交通运输仓储邮电通信,第三产业,其他,1,0
3630,4311030826,冷水滩区黄阳司镇曾家湾村,曾九花个体运输,717,曾九花,曾九花,15387465096,冷水滩区黄阳司镇曾家湾村,个体工商户,个体经营,交通运输仓储邮电通信,第三产业,其他,1,0
3631,4311030826,冷水滩区黄阳司镇曾家湾村,曾砖山碾米,718,曾砖山,曾砖山,13217462668,冷水滩区黄阳司镇曾家湾村,个体工商户,个体经营,农林牧渔业,第一产业,其他,1,0
3632,4311030826,冷水滩区黄阳司镇曾家湾村,曾金元碾米,719,曾金元,曾金元,13217462668,冷水滩区黄阳司镇曾家湾村,个体工商户,个体经营,农林牧渔业,第一产业,其他,1,0
3633,4311030826,冷水滩区黄阳司镇曾家湾村,曾凡春商店,720,曾凡舂,曾凡舂,15807480527,冷水滩区黄阳司镇曾家湾村,个体工商户,个体经营,其他,第三产业,其他,1,0
3638,4311030827,冷水滩区黄阳司镇养马坪村,钱中元卫生室,725,钱中元,钱中元,15874622498,冷水滩区黄阳司镇养马坪村,个体工商户,个体经营,其他,第三产业,其他,1,0
3675,4311030828,冷水滩区黄阳司镇燕子塘村,唐禾龙门珍,762,唐禾龙,唐禾龙,13207462779,冷水滩区黄阳司镇燕子塘村,个体工商户,个体经营,其他,第三产业,其他,1,0
3685,4311030828,冷水滩区黄阳司镇燕子塘村,钱能生个体运输,772,钱能生,钱能生,13207462779,冷水滩区黄阳司镇燕子塘村,个体工商户,个体经营,交通运输仓储邮电通信,第三产业,其他,1,0
3706,4311030828,冷水滩区黄阳司镇燕子塘村,钱华林个体运输,793,钱华林,钱华林,13207462779,冷水滩区黄阳司镇燕子塘村,个体工商户,个体经营,交通运输仓储邮电通信,第三产业,其他,1,0
3711,4311030829,冷水滩区黄阳司镇陈家冲村,唐铁桥儿杂货零售,798,唐铁桥,唐铁桥,13844728298,冷水滩区黄阳司镇陈家冲村,个体工商户,个体经营,批发零售,第三产业,其他,1,0
3723,4311030829,冷水滩区黄阳司镇陈家冲村,陈效武卫生室,810,陈效武,陈效武,13844728298,冷水滩区黄阳司镇陈家冲村,个体工商户,个体经营,其他,第三产业,其他,1,0
3737,4311030831,冷水滩区黄阳司镇田心村,唐建国个体运输,824,唐建国,唐建国,13204956698,冷水滩区黄阳司镇田心村,个体工商户,个体经营,交通运输仓储邮电通信,第三产业,其他,1,0
3739,4311030831,冷水滩区黄阳司镇田心村,唐仲秋基建队,826,唐仲秋,唐仲秋,13170465100,冷水滩区黄阳司镇田心村,个体工商户,个体经营,建筑,第二产业,其他,1,0
3740,4311030831,冷水滩区黄阳司镇田心村,唐海国基建队,827,唐海国,唐海国,13638410336,冷水滩区黄阳司镇田心村,个体工商户,个体经营,建筑,第二产业,其他,1,0
3741,4311030831,冷水滩区黄阳司镇田心村,唐九生卫生室,828,唐九生,唐九生,13974681689,冷水滩区黄阳司镇田心村,个体工商户,个体经营,其他,第三产业,其他,1,0
3743,4311030831,冷水滩区黄阳司镇田心村,唐海军个体运输,830,唐海军,唐海军,13874702705,冷水滩区黄阳司镇田心村,个体工商户,个体经营,交通运输仓储邮电通信,第三产业,其他,1,0
3749,4311030831,冷水滩区黄阳司镇田心村,唐海军个体运输,836,唐海军,唐海军,15111611685,冷水滩区黄阳司镇田心村,个体工商户,个体经营,交通运输仓储邮电通信,第三产业,其他,1,0
3752,4311030831,冷水滩区黄阳司镇田心村,唐雪生基建队,839,唐雪生,唐雪生,13638410636,冷水滩区黄阳司镇田心村,个体工商户,个体经营,建筑,第二产业,其他,1,0
3753,4311030831,冷水滩区黄阳司镇田心村,唐善妹油漆工,840,唐善妹,唐善妹,13638410336,冷水滩区黄阳司镇田心村,个体工商户,个体经营,其他,第三产业,其他,1,0
3755,4311030831,冷水滩区黄阳司镇田心村,唐善友基建队,842,唐善友,唐善友,13638410636,冷水滩区黄阳司镇田心村,个体工商户,个体经营,建筑,第二产业,其他,1,0
3756,4311030830,冷水滩区黄阳司镇社塘村,奉美玉卫生室,843,奉美玉,奉美玉,15874619515,冷水滩区黄阳司镇社塘村,个体工商户,个体经营,其他,第三产业,其他,1,0
3765,4311030830,冷水滩区黄阳司镇社塘村,唐小铁个体运输,852,唐小铁,唐小铁,15074649799,冷水滩区黄阳司镇社塘村,个体工商户,个体经营,交通运输仓储邮电通信,第三产业,其他,1,0
3769,4311030830,冷水滩区黄阳司镇社塘村,李冬元个体运输,856,李冬元,李冬元,13574612797,冷水滩区黄阳司镇社塘村,个体工商户,个体经营,交通运输仓储邮电通信,第三产业,其他,1,0
3780,4311030833,冷水滩区黄阳司镇黄阳司村,唐君卫生室,867,唐君,唐君,13037465875,冷水滩区黄阳司镇黄阳司村,个体工商户,个体经营,其他,第三产业,其他,1,0
3781,4311030833,冷水滩区黄阳司镇黄阳司村,周银生个体运输,868,周银生,周银生,13204974085,冷水滩区黄阳司镇黄阳司村,个体工商户,个体经营,交通运输仓储邮电通信,第三产业,其他,1,0
3788,4311030833,冷水滩区黄阳司镇黄阳司村,邓建平杂货零售,875,邓建平,邓建平,13204974085,冷水滩区黄阳司镇黄阳司村,个体工商户,个体经营,批发零售,第三产业,其他,1,0
3791,4311030833,冷水滩区黄阳司镇黄阳司村,宋祚云鱼摊,878,宋祚云,宋祚云,13204974085,冷水滩区黄阳司镇黄阳司村,个体工商户,个体经营,批发零售,第三产业,其他,1,0
3817,4311030833,冷水滩区黄阳司镇黄阳司村,唐小军基建队,904,唐小军,唐小军,13204974085,冷水滩区黄阳司镇黄阳司村,个体工商户,个体经营,建筑,第二产业,其他,1,0
3818,4311030832,冷水滩区黄阳司镇冯干岭村,冯秋元基建队,905,冯秋元,冯秋元,13973470191,冷水滩区黄阳司镇冯干岭村,个体工商户,个体经营,建筑,第二产业,其他,1,0
3821,4311030832,冷水滩区黄阳司镇冯干岭村,唐忠明鱼摊,908,唐忠明,唐忠明,13973470191,冷水滩区黄阳司镇冯干岭村,个体工商户,个体经营,批发零售,第三产业,其他,1,0
3834,4311030832,冷水滩区黄阳司镇冯干岭村,唐春山卫生室,921,唐春山,唐春山,13574691782,冷水滩区黄阳司镇冯干岭村,个体工商户,个体经营,其他,第三产业,其他,1,0
3843,4311030834,冷水滩区黄阳司镇车站村,刘荀辉个体运输,930,刘荀辉,刘荀辉,13874771308,冷水滩区黄阳司镇车站村,个体工商户,个体经营,交通运输仓储邮电通信,第三产业,其他,1,0
3851,4311030834,冷水滩区黄阳司镇车站村,宋学辉个体运输,938,宋学辉,宋学辉,13874771308,冷水滩区黄阳司镇车站村,个体工商户,个体经营,交通运输仓储邮电通信,第三产业,其他,1,0
3859,4311030834,冷水滩区黄阳司镇车站村,宋光和个体运输,946,宋光和,宋光和,13874771308,冷水滩区黄阳司镇车站村,个体工商户,个体经营,交通运输仓储邮电通信,第三产业,其他,1,0
3865,4311030834,冷水滩区黄阳司镇车站村,宋学龙个体运输,952,宋学龙,宋学龙,13874771308,冷水滩区黄阳司镇车站村,个体工商户,个体经营,交通运输仓储邮电通信,第三产业,其他,1,0
3877,4311030834,冷水滩区黄阳司镇车站村,宋佳益个体运输,964,宋佳益,宋佳益,13874771308,冷水滩区黄阳司镇车站村,个体工商户,个体经营,交通运输仓储邮电通信,第三产业,其他,1,0
3881,4311030836,冷水滩区黄阳司镇同乐滩村,唐建华个体运输,968,唐建华,唐建华,13467491303,冷水滩区黄阳司镇同乐滩村,个体工商户,个体经营,交通运输仓储邮电通信,第三产业,其他,1,0
3883,4311030836,冷水滩区黄阳司镇同乐滩村,周爱明个体运输,970,周爱明,周爱明,13467491303,冷水滩区黄阳司镇同乐滩村,个体工商户,个体经营,交通运输仓储邮电通信,第三产业,其他,1,0
3893,4311030836,冷水滩区黄阳司镇同乐滩村,周波个体运输,980,周波,周波,13467491303,冷水滩区黄阳司镇同乐滩村,个体工商户,个体经营,交通运输仓储邮电通信,第三产业,其他,1,0
3895,4311030836,冷水滩区黄阳司镇同乐滩村,魏兰妹卫生室,982,魏兰妹,魏兰妹,13107167448,冷水滩区黄阳司镇同乐滩村,个体工商户,个体经营,其他,第三产业,其他,1,0
3896,4311030836,冷水滩区黄阳司镇同乐滩村,杨建华个体运输,983,杨建华,杨建华,13467491303,冷水滩区黄阳司镇同乐滩村,个体工商户,个体经营,交通运输仓储邮电通信,第三产业,其他,1,0
3898,4311030836,冷水滩区黄阳司镇同乐滩村,周小山个体运输,985,周小山,周小山,13467491303,冷水滩区黄阳司镇同乐滩村,个体工商户,个体经营,交通运输仓储邮电通信,第三产业,其他,1,0
3909,4311030836,冷水滩区黄阳司镇同乐滩村,唐建国基建队,996,唐建国,唐建国,13467491303,冷水滩区黄阳司镇同乐滩村,个体工商户,个体经营,建筑,第二产业,其他,1,0
3914,4311030835,冷水滩区黄阳司镇八亩丘村,唐小阳卫生室,1001,唐小阳,唐小阳,13974607477,冷水滩区黄阳司镇八亩丘村,个体工商户,个体经营,其他,第三产业,其他,1,0
3915,4311030835,冷水滩区黄阳司镇八亩丘村,魏朝云杂货零售,1002,魏朝云,魏朝云,13574660652,冷水滩区黄阳司镇八亩丘村,个体工商户,个体经营,批发零售,第三产业,其他,1,0
3916,4311030835,冷水滩区黄阳司镇八亩丘村,魏成军个体运输,1003,魏成军,魏成军,18374154798,冷水滩区黄阳司镇八亩丘村,个体工商户,个体经营,交通运输仓储邮电通信,第三产业,其他,1,0
3917,4311030835,冷水滩区黄阳司镇八亩丘村,魏俊军个体运输,1004,魏俊军,魏俊军,13327260806,冷水滩区黄阳司镇八亩丘村,个体工商户,个体经营,交通运输仓储邮电通信,第三产业,其他,1,0
3918,4311030835,冷水滩区黄阳司镇八亩丘村,魏大勇个体运输,1005,魏大勇,魏大勇,13187122606,冷水滩区黄阳司镇八亩丘村,个体工商户,个体经营,交通运输仓储邮电通信,第三产业,其他,1,0
3919,4311030835,冷水滩区黄阳司镇八亩丘村,魏开生木材加工,1006,魏开生,魏开生,13243608247,冷水滩区黄阳司镇八亩丘村,个体工商户,个体经营,其他,第三产业,其他,1,0
3921,4311030835,冷水滩区黄阳司镇八亩丘村,魏海军废品收购,1008,魏海军,魏海军,15869953549,冷水滩区黄阳司镇八亩丘村,个体工商户,个体经营,其他,第三产业,其他,1,0
3924,4311030835,冷水滩区黄阳司镇八亩丘村,魏成松房地产,1013,魏成松,魏成松,13874611939,冷水滩区黄阳司镇八亩丘村,个体工商户,个体经营,其他,第三产业,其他,1,0
3934,4311030835,冷水滩区黄阳司镇八亩丘村,魏建华个体运输,1023,魏建华,魏建华,13874603284,冷水滩区黄阳司镇八亩丘村,个体工商户,个体经营,交通运输仓储邮电通信,第三产业,其他,1,0
3939,4311030835,冷水滩区黄阳司镇八亩丘村,魏中华个体运输,1028,魏中华,魏中华,13874382102,冷水滩区黄阳司镇八亩丘村,个体工商户,个体经营,交通运输仓储邮电通信,第三产业,其他,1,0
3940,4311030835,冷水滩区黄阳司镇八亩丘村,魏六山基建队,1029,魏六山,魏六山,13574660635,冷水滩区黄阳司镇八亩丘村,个体工商户,个体经营,建筑,第二产业,其他,1,0
3941,4311030835,冷水滩区黄阳司镇八亩丘村,魏保国基建队,1030,魏保国,魏保国,13469360574,冷水滩区黄阳司镇八亩丘村,个体工商户,个体经营,建筑,第二产业,其他,1,0
3943,4311030835,冷水滩区黄阳司镇八亩丘村,魏生来个体运输,1032,魏生来,魏生来,18774696562,冷水滩区黄阳司镇八亩丘村,个体工商户,个体经营,交通运输仓储邮电通信,第三产业,其他,1,0
3946,4311030837,冷水滩区黄阳司镇狮子岭村,张伍生鱼摊,1035,张伍生,张伍生,13974616092,冷水滩区黄阳司镇狮子岭村,个体工商户,个体经营,批发零售,第三产业,其他,1,0
3951,4311030837,冷水滩区黄阳司镇狮子岭村,唐智安杂货零售,1040,唐智安,唐智安,13974616092,冷水滩区黄阳司镇狮子岭村,个体工商户,个体经营,批发零售,第三产业,其他,1,0
3952,4311030837,冷水滩区黄阳司镇狮子岭村,张衡跃鱼摊,1041,张衡跃,张衡跃,13974616092,冷水滩区黄阳司镇狮子岭村,个体工商户,个体经营,批发零售,第三产业,其他,1,0
3954,4311030837,冷水滩区黄阳司镇狮子岭村,张昭建鱼摊,1043,张昭建i,张昭建i,13974616092,冷水滩区黄阳司镇狮子岭村,个体工商户,个体经营,批发零售,第三产业,其他,1,0
3959,4311030837,冷水滩区黄阳司镇狮子岭村,唐金凤鱼摊,1048,唐金凤,唐金凤,13974616092,冷水滩区黄阳司镇狮子岭村,个体工商户,个体经营,批发零售,第三产业,其他,1,0
3960,4311030837,冷水滩区黄阳司镇狮子岭村,唐宏林个体运输,1049,唐宏林,唐宏林,13974616092,冷水滩区黄阳司镇狮子岭村,个体工商户,个体经营,交通运输仓储邮电通信,第三产业,其他,1,0
3961,4311030837,冷水滩区黄阳司镇狮子岭村,钱军华卫生室,1050,钱军华,钱军华,13974616092,冷水滩区黄阳司镇狮子岭村,个体工商户,个体经营,其他,第三产业,其他,1,0
3974,4311030837,冷水滩区黄阳司镇狮子岭村,张建文鱼摊,1063,张建文,张建文,13974616092,冷水滩区黄阳司镇狮子岭村,个体工商户,个体经营,批发零售,第三产业,其他,1,0
3992,4311030837,冷水滩区黄阳司镇狮子岭村,张吴军鱼摊,1082,张吴军,张吴军,13974616092,冷水滩区黄阳司镇狮子岭村,个体工商户,个体经营,批发零售,第三产业,其他,1,0
4059,4311030838,冷水滩区黄阳司镇黄阳司居委会,肖宝山理发店,1149,肖宝山,肖宝山,18397498760,冷水滩区黄阳司镇黄阳司居委会,个体工商户,个体经营,居民服务其它服务业,第三产业,其他,1,0
4076,4311030838,冷水滩区黄阳司镇黄阳司居委会,蔬菜摊,1166,毛树生,毛树生,15581465576,冷水滩区黄阳司镇黄阳司居委会,个体工商户,个体经营,批发零售,第三产业,其他,1,0
4079,4311030838,冷水滩区黄阳司镇黄阳司居委会,蔬菜摊,1169,郑富云,郑富云,15116699884,冷水滩区黄阳司镇黄阳司居委会,个体工商户,个体经营,批发零售,第三产业,其他,1,0
4083,4311030838,冷水滩区黄阳司镇黄阳司居委会,蔬菜摊,1173,魏桂英,魏桂英,13874607451,冷水滩区黄阳司镇黄阳司居委会,个体工商户,个体经营,批发零售,第三产业,其他,1,0
4111,4311030838,冷水滩区黄阳司镇黄阳司居委会,蔬菜摊,1201,宋玉英,宋玉英,15575352131,冷水滩区黄阳司镇黄阳司居委会,个体工商户,个体经营,批发零售,第三产业,其他,1,0
4119,4311030838,冷水滩区黄阳司镇黄阳司居委会,蔬菜摊,1209,唐五香,唐五香,15116559963,冷水滩区黄阳司镇黄阳司居委会,个体工商户,个体经营,批发零售,第三产业,其他,1,0
4135,4311030838,冷水滩区黄阳司镇黄阳司居委会,蔬菜摊,1225,彭月秀,彭月秀,13789238280,冷水滩区黄阳司镇黄阳司居委会,个体工商户,个体经营,批发零售,第三产业,其他,1,0
4136,4311030838,冷水滩区黄阳司镇黄阳司居委会,蔬菜摊,1226,李学柱,李学柱,8512816,冷水滩区黄阳司镇黄阳司居委会,个体工商户,个体经营,批发零售,第三产业,失业人员自主创业,1,0
